source,target,weight
#80706b,#708040,2
#80706b,#cbd4b1,20
#80706b,#25152a,8
#80706b,#2a1525,12
#80706b,#6b7b80,13
#80706b,#6b807b,3
#80706b,#bab1d4,10
#80706b,#212a07,1
#80706b,#1a152a,5
#80706b,#152a25,4
#80706b,#232a25,4
#80706b,#232a28,3
#80706b,#2a2107,2
#80706b,#806616,2
#80706b,#b1d4cb,3
#80706b,#d45124,11
#80706b,#407080,4
#80706b,#6abad4,1
#80706b,#07102a,2
#80706b,#801631,4
#80706b,#252a15,2
#80706b,#405080,2
#232a25,#232a28,25
#232a25,#2a2523,16
#232a25,#805040,19
#232a25,#d4ba6a,17
#232a25,#2a2515,14
#232a25,#807040,22
#232a25,#807b6b,13
#232a25,#152a25,12
#232a25,#d4856a,12
#232a25,#d4cbb1,17
#232a25,#70806b,7
#232a25,#2a2107,1
#232a25,#152a1a,5
#232a25,#252a15,6
#232a25,#407080,3
#232a25,#6abad4,1
#232a25,#6b807b,6
#232a25,#b1cbd4,1
#232a25,#801631,3
#232a25,#2a151a,2
#232a25,#d45124,2
#232a25,#2a2325,2
#232a25,#2a2328,3
#232a25,#708040,1
#232a25,#b1d4cb,1
#232a25,#6b7b80,1
#232a25,#151a2a,1
#232a25,#25232a,1
#bab1d4,#6b7080,24
#bab1d4,#6b7b80,4
#bab1d4,#b1cbd4,6
#bab1d4,#b1d4cb,2
#bab1d4,#cbb1d4,13
#bab1d4,#d4b1ba,6
#bab1d4,#d4cbb1,9
#bab1d4,#1a152a,1
#bab1d4,#25232a,17
#bab1d4,#2a2523,3
#bab1d4,#806b70,3
#bab1d4,#2a2325,1
#bab1d4,#2a2328,3
#bab1d4,#805040,3
#bab1d4,#807b6b,4
#bab1d4,#d4856a,3
#bab1d4,#28232a,2
#bab1d4,#807040,2
#bab1d4,#d4ba6a,2
#bab1d4,#2a2515,1
#d45124,#07102a,1
#d45124,#805040,106
#d45124,#d4856a,86
#d45124,#2a151a,17
#d45124,#2a1525,3
#d45124,#801631,8
#d45124,#807040,58
#d45124,#d4ba6a,83
#d45124,#2a2515,34
#d45124,#2a2523,40
#d45124,#806616,31
#d45124,#807b6b,16
#d45124,#d4cbb1,59
#d45124,#2a0710,5
#d45124,#25232a,4
